,X,Y,Z,formation,polarity,dip,azimuth
19,32305298.584717598,5623542.681186867,266.9100036621094,Devonian,1,40,315
20,32296396.80152972,5629068.043100353,168.8699951171875,Devonian,1,40,135
22,32304271.26824021,5634892.622900447,186.32000732421875,Devonian,1,40,135
